"ProcessId","ProcessName","HostProcess","MemoryMB","FileVersion","ExecutablePath","Parameters","StartTime"
"2852","msedgewebview2","SearchHost.exe","69,23","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=gpu-process --webview-exe-name=SearchHost.exe","2025-11-12 09:12:00"
"26504","msedgewebview2","OUTLOOK.EXE","68,69","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=gpu-process --webview-exe-name=OUTLOOK.EXE","2025-11-12 09:34:58"
"27244","msedgewebview2","OUTLOOK.EXE","66,35","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=renderer --webview-exe-name=OUTLOOK.EXE","2025-11-12 09:35:19"
"29504","msedgewebview2","OUTLOOK.EXE","61,42","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=renderer --webview-exe-name=OUTLOOK.EXE","2025-11-12 09:35:09"
"33432","msedgewebview2","ms-teams.exe","60,95","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--webview-exe-name=ms-teams.exe","2025-11-12 10:52:06"
"28764","msedgewebview2","CaseBuddyApp.exe","48,82","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=renderer --webview-exe-name=CaseBuddyApp.exe","2025-11-12 13:30:30"
"2364","msedgewebview2","OneDrive.exe","46,98","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=gpu-process --webview-exe-name=OneDrive.exe","2025-11-12 09:14:04"
"7308","msedgewebview2","OneDrive.exe","41,74","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=renderer --webview-exe-name=OneDrive.exe","2025-11-12 09:14:04"
"26524","msedgewebview2","OUTLOOK.EXE","40,94","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=utility --webview-exe-name=OUTLOOK.EXE","2025-11-12 09:34:58"
"9112","msedgewebview2","WidgetBoard.exe","38,82","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=utility --webview-exe-name=WidgetBoard.exe","2025-11-12 09:13:02"
"19448","msedgewebview2","WidgetBoard.exe","36,82","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=renderer --webview-exe-name=WidgetBoard.exe","2025-11-12 09:13:03"
"468","msedgewebview2","CaseBuddyApp.exe","36,71","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=utility --webview-exe-name=CaseBuddyApp.exe","2025-11-12 13:30:30"
"15404","msedgewebview2","SearchHost.exe","36,27","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=utility --webview-exe-name=SearchHost.exe","2025-11-12 09:12:00"
