"ProcessId";"HostProcess";"Type";"MemoryMB";"FileVersion";"ExecutablePath";"StartTime"
"18812";"OneDrive.exe";"";"105,83";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:14:04"
"34420";"OUTLOOK.EXE";"renderer";"97,66";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 14:22:21"
"15552";"SearchHost.exe";"renderer";"94,21";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:12:00"
"22016";"WhatsApp.Root.exe";"renderer";"93,53";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:15:09"
"8632";"WhatsApp.Root.exe";"";"80,88";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:15:08"
"9040";"M365Copilot.exe";"";"75,94";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:14:41"
"18976";"CaseBuddyApp.exe";"gpu-process";"69,37";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 13:30:30"
"2852";"SearchHost.exe";"gpu-process";"68,61";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:12:00"
"27244";"OUTLOOK.EXE";"renderer";"63,43";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:35:19"
"33432";"ms-teams.exe";"";"62,66";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 10:52:06"
